relative_path,final_query_used,source_url,status,reason
drinks\192-compal-multi-fruit-nectar.jpg,Compal multi fruit nectar drink bottle can,,failed,No valid image found
cosmetics\231-cocopulp-cream.jpg,Cocopulp cream cream lotion product,,failed,No valid image found
drinks\193-compal-pineapple-nectar.jpg,Compal pineapple nectar drink bottle can,,failed,No valid image found
cosmetics\235-miki-clair.jpg,Miki clair cream lotion product,,failed,No valid image found
cosmetics\239-talc-powder.jpg,Talc powder cream lotion product,,failed,No valid image found
cosmetics\240-confo-perfume-oil.jpg,Confo perfume oil cream lotion product,,failed,No valid image found
drinks\157-sumol-orange-drink-can.jpg,Sumol orange drink can drink bottle can,,failed,No valid image found
drinks\158-sumol-pineapple-drink-can.jpg,Sumol pineapple drink can drink bottle can,,failed,No valid image found
drinks\161-guarana-antarctica-zero.jpg,Guarana antarctica zero drink bottle can,,failed,No valid image found
drinks\164-cola-couronne-fruit-champagne-200ml.jpg,Cola couronne fruit champagne 200ml drink bottle can,,failed,No valid image found
drinks\165-cola-couronne-fruit-champagne-2l.jpg,Cola couronne fruit champagne 2l drink bottle can,,failed,No valid image found
drinks\167-the-popshoppe-pineapple-355ml.jpg,The popshoppe pineapple 355ml drink bottle can,,failed,No valid image found
drinks\168-the-popshoppe-cotton-candy-355ml.jpg,The popshoppe cotton candy 355ml drink bottle can,,failed,No valid image found
drinks\169-the-popshoppe-lime-ricky-355ml.jpg,The popshoppe lime ricky 355ml drink bottle can,,failed,No valid image found
drinks\170-the-popshoppe-cream-soda-355ml.jpg,The popshoppe cream soda 355ml drink bottle can,,failed,No valid image found
drinks\172-basil-seed-kiwi-290ml.jpg,Basil seed kiwi 290ml drink bottle can,,failed,No valid image found
drinks\175-basil-seed-lychee-290ml.jpg,Basil seed lychee 290ml drink bottle can,,failed,No valid image found
canned-food\067-titus-sardines-soya-oil.jpg,Titus sardines soya oil,,failed,No valid image found
canned-food\072-bom-petisco-tuna.jpg,Bom petisco tuna,,failed,No valid image found
cosmetics\227-paw-paw-cream-jar.jpg,Paw cream jar,,failed,No valid image found
cosmetics\229-aloe-vera-body-lotion.jpg,Aloe vera body lotion cream,,failed,No valid image found
cosmetics\230-dermaclar-body-lotion.jpg,Dermaclar body lotion cream,,failed,No valid image found
cosmetics\231-cocopulp-cream.jpg,Cocopulp cream,,failed,No valid image found
cosmetics\235-miki-clair.jpg,Miki clair cream,,failed,No valid image found
cosmetics\239-talc-powder.jpg,Talc powder cream,,failed,No valid image found
cosmetics\240-confo-perfume-oil.jpg,Confo perfume oil cream,,failed,No valid image found
drinks\157-sumol-orange-drink-can.jpg,Sumol orange drink can,,failed,No valid image found
drinks\158-sumol-pineapple-drink-can.jpg,Sumol pineapple drink can,,failed,No valid image found
drinks\161-guarana-antarctica-zero.jpg,Guarana antarctica zero drink,,failed,No valid image found
drinks\164-cola-couronne-fruit-champagne-200ml.jpg,Cola couronne fruit champagne 200ml drink,,failed,No valid image found
drinks\165-cola-couronne-fruit-champagne-2l.jpg,Cola couronne fruit champagne 2l drink,,failed,No valid image found
drinks\167-the-popshoppe-pineapple-355ml.jpg,The popshoppe pineapple 355ml drink,,failed,No valid image found
drinks\168-the-popshoppe-cotton-candy-355ml.jpg,The popshoppe cotton candy 355ml drink,,failed,No valid image found
