relative_path,search_query,source_url,status,reason
canned-food\066-sardine-anny-vegetable-oil-and-piment-125g.jpg,sardine anny vegetable oil and piment,https://dqijfes4b84uc.cloudfront.net/customer-images/8673.jpg,success,
canned-food\067-titus-sardines-soya-oil.jpg,,,failed,No valid image found
canned-food\069-geisha-mackerel-red-425g.jpg,geisha mackerel red 425g,https://market.olammarkets.com/media/catalog/product/cache/45caf89f83c612fdf360ab932e0c23eb/g/e/geisha_mackerel_small.jpg,success,
canned-food\070-geisha-mackerel-green-425g.jpg,geisha mackerel green 425g,https://market.olammarkets.com/media/catalog/product/cache/45caf89f83c612fdf360ab932e0c23eb/g/e/geisha_mackerel_small.jpg,success,
canned-food\072-bom-petisco-tuna.jpg,,,failed,No valid image found
canned-food\074-spam-gochujang.jpg,spam gochujang,https://i5.walmartimages.com/seo/SPAM-Gochujang-12-oz_2c3d4c85-0bbe-46ec-bbc1-7d35cdb95ea8.b24610a300c15b19b4c89b8eb871c745.jpeg,success,
canned-food\075-geisha-jack-mackerel-chinchard.jpg,geisha jack mackerel chinchard,https://market.olammarkets.com/media/catalog/product/cache/45caf89f83c612fdf360ab932e0c23eb/g/e/geisha_mackerel_small.jpg,success,
cosmetics\223-caro-light-cream.jpg,caro light cream,https://dqijfes4b84uc.cloudfront.net/customer-images/10375.jpg,success,
cosmetics\224-caro-light-lotion.jpg,caro light lotion,https://betocosmetics.com/cdn/shop/products/Dream-Cosmetics-Caro-Light-Beauty-Lotion-Lotion-500ml-e1f_512x483.jpg,success,
cosmetics\225-clinic-clear-whitening-body-lotion.jpg,clinic clear whitening body lotion,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/I/A/216520_1683236659.jpg",success,
cosmetics\226-paw-paw-lait-clarifiant.jpg,paw paw lait clarifiant,https://www.nairomarket.co.ke/cdn/shop/files/lOhLcn0410.jpg,success,
cosmetics\227-paw-paw-cream-jar.jpg,,,failed,No valid image found
cosmetics\228-bio-plus-papaya-lotion.jpg,,,failed,No valid image found
cosmetics\229-aloe-vera-body-lotion.jpg,,,failed,No valid image found
cosmetics\230-dermaclar-body-lotion.jpg,,,failed,No valid image found
cosmetics\231-cocopulp-cream.jpg,,,failed,No valid image found
cosmetics\233-rapid-clair.jpg,rapid clair,https://cdn.shopify.com/s/files/1/1119/1780/products/rapid-clair-lotion_1024x1024.jpg,success,
cosmetics\234-extra-clair.jpg,extra clair,https://img1.wsimg.com/isteam/ip/0d5fda68-3e72-4f86-8a28-1a7a3d2e3baf/Draft8.jpg,success,
cosmetics\235-miki-clair.jpg,,,failed,No valid image found
cosmetics\236-belleza-creme.jpg,belleza creme,https://cdn.pixabay.com/photo/2023/04/19/17/27/woman-7938209_1280.jpg,success,
cosmetics\237-ub-cream-jar.jpg,ub cream jar,https://www.rcpackaging.com/rcpacking/2023/10/19/0_0018_7.png,success,
cosmetics\239-talc-powder.jpg,,,failed,No valid image found
cosmetics\240-confo-perfume-oil.jpg,,,failed,No valid image found
drinks\157-sumol-orange-drink-can.jpg,,,failed,No valid image found
drinks\158-sumol-pineapple-drink-can.jpg,,,failed,No valid image found
drinks\159-sagres-mineral-water.jpg,sagres mineral water,https://i.pinimg.com/736x/08/ce/ba/08cebaed214da11ab6ae543fc814b311.jpg,success,
drinks\161-guarana-antarctica-zero.jpg,,,failed,No valid image found
drinks\162-malta-guinness-330ml.jpg,malta guinness 330ml,https://melcom.com/media/catalog/product/cache/d0e1b0d5c74d14bfa9f7dd43ec52d082/6/7/67737_1a_1.jpg,success,
drinks\163-makaya-banane-591ml.jpg,makaya banane 591ml,https://lepro1600.com/cdn/shop/files/image_123650291_29_1200x1200.jpg,success,
drinks\164-cola-couronne-fruit-champagne-200ml.jpg,,,failed,No valid image found
drinks\165-cola-couronne-fruit-champagne-2l.jpg,,,failed,No valid image found
drinks\166-the-popshoppe-rocket-blast-355ml.jpg,the popshoppe rocket blast 355ml,https://www.thepopshoppe.com/cdn/shop/products/rocket-blast-302456.webp,success,
drinks\167-the-popshoppe-pineapple-355ml.jpg,,,failed,No valid image found
drinks\168-the-popshoppe-cotton-candy-355ml.jpg,,,failed,No valid image found
drinks\169-the-popshoppe-lime-ricky-355ml.jpg,,,failed,No valid image found
drinks\170-the-popshoppe-cream-soda-355ml.jpg,,,failed,No valid image found
drinks\171-basil-seed-cocktail-290ml.jpg,basil seed cocktail 290ml,"https://static.wixstatic.com/media/145fe8_da367d4c891e441cbffd2240084f66e2~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",success,
drinks\172-basil-seed-kiwi-290ml.jpg,,,failed,No valid image found
drinks\173-basil-seed-strawberry-290ml.jpg,basil seed strawberry 290ml,https://www.chohans.co.za/cdn/shop/files/WhatsApp_Image_2024_08_29_at_11_17_43_700x700.png,success,
drinks\175-basil-seed-lychee-290ml.jpg,,,failed,No valid image found
drinks\176-basil-seed-mango-290ml.jpg,basil seed mango 290ml,https://cdn11.bigcommerce.com/s-axqppvczl4/products/16330/images/28284/Untitled_design_-_2022-07-07T140521.630__31646.1657199234.386.513.png,success,
drinks\177-calypso-island-wave-lemonade-473ml.jpg,calypso island wave lemonade 473ml,https://www.qualityfoodsonline.com/cdn/shop/products/DR-4_299b9354-ea38-4890-88e1-77f05679ebf1.jpg,success,
drinks\179-calypso-paradise-punch-lemonade-473ml.jpg,calypso paradise punch lemonade 473ml,https://cdn.shopify.com/s/files/1/0434/5475/9072/products/DR-5_e3a7b8e5-810e-4c0a-9a4c-33b235fae992_1024x.jpg,success,
drinks\180-twist-and-drink-cherry-200ml.jpg,,,failed,No valid image found
drinks\181-twist-and-drink-wildberry-200ml.jpg,,,failed,No valid image found
drinks\182-compal-vital-mango-orange.jpg,,,failed,No valid image found
drinks\184-compal-pear-nectar.jpg,,,failed,No search results
drinks\187-compal-fresh-100-orange.jpg,,,failed,No valid image found
drinks\188-compal-vital-orange-carrot-mango.jpg,,,failed,No valid image found
drinks\189-compal-fresh-100-apple.jpg,,,failed,No valid image found
drinks\190-compal-passionfruit-fresh.jpg,,,failed,No valid image found
drinks\191-compal-passion-fruit-mango.jpg,,,failed,No valid image found
drinks\192-compal-multi-fruit-nectar.jpg,,,failed,No valid image found
drinks\193-compal-pineapple-nectar.jpg,,,failed,No valid image found
drinks\194-compal-light-pine-coconut.jpg,,,failed,No valid image found
drinks\195-musa-jus-cocktail-1l.jpg,,,failed,No search results
drinks\197-musa-jus-mangue-1l.jpg,,,failed,No search results
drinks\198-musa-jus-orange-1l.jpg,musa jus orange 1l,https://www.ensuite.fr/en/4397-large_default/jus-d-orange-1l.jpg,success,
drinks\199-bissap-160g.jpg,,,failed,No search results
drinks\200-lipton-yellow-label-tea.jpg,,,failed,No search results
drinks\201-the-gingembre-and-miel-ann.jpg,the gingembre and miel ann,https://i.pinimg.com/originals/4b/09/67/4b096726d721e0c1d7295bf89ceb5db5.png,success,
drinks\202-naya-bottled-water.jpg,,,failed,No search results
dry-goods\102-nacional-cotovelos.jpg,,,failed,No search results
dry-goods\103-milaneza-lacos-bows.jpg,,,failed,No valid image found
dry-goods\104-nacional-cotovelinhos.jpg,,,failed,No valid image found
dry-goods\105-nacional-macarronete-riscado.jpg,nacional macarronete riscado,https://4.bp.blogspot.com/-jJ7DYg6hBxI/VkDCExGNAmI/AAAAAAAAA9o/Off59GWpjlM/s640/Massssa.png,success,
dry-goods\106-nacional-buzios-conchas.jpg,,,failed,No valid image found
dry-goods\107-napolitana-spaghetti.jpg,napolitana spaghetti,https://img.freepik.com/premium-photo/spaghetti-alla-napolitana_167689-601.jpg,success,
dry-goods\108-nacional-cotovelinhos-finos.jpg,,,failed,No valid image found
dry-goods\109-nacional-aletria-milaneza.jpg,nacional aletria milaneza,https://mimosaproduce.com/product/capellini-aletria-milaneza/IMG1.jpg,success,
dry-goods\110-massa-de-meada-normal.jpg,,,failed,No valid image found
dry-goods\111-nacional-pevide-midolline.jpg,,,failed,No valid image found
dry-goods\113-nacional-estrelinhas.jpg,,,failed,No valid image found
dry-goods\114-nacional-cuscus.jpg,nacional cuscus,https://img.freepik.com/premium-photo/original-dish-couscous-cuscuz-brasil-also-know-as-cuscus-cuzcuz-north-northeast-brazil-typical-food-brazilian-cuisine_117038-12339.jpg,success,
dry-goods\115-nacional-letras-and-algarismo.jpg,,,failed,No valid image found
dry-goods\116-nacional-pontinhas.jpg,,,failed,No valid image found
dry-goods\117-milaneza-espirais-fusili.jpg,,,failed,No valid image found
dry-goods\118-ferma-dry-popping-corn.jpg,ferma dry popping corn,https://turkishporter.com/content/images/thumbs/0001725_popping-corn-500g_550.jpeg,success,
dry-goods\119-five-roses-flour.jpg,,,failed,No valid image found
food\002-farine-de-manioc-kinazi-2kg.jpg,farine de manioc kinazi 2kg,https://images.openfoodfacts.org/images/products/378/020/137/9613/front_fr.3.full.jpg,success,
food\004-farine-manioc-2500g.jpg,farine manioc 2500g,https://ufoodin.com/storage/2022/12/png_20221031_112301_0000.png,success,
food\005-attieke-fatou-500g.jpg,attieke fatou 500g,https://i.pinimg.com/736x/39/aa/15/39aa15a7e9c1311de2a954bfa2eb35a2.jpg,success,
food\006-attieke-fatou-300g.jpg,attieke fatou 300g,"https://static.wixstatic.com/media/51bbcb_f0a7054375c5437f96906accf8d73d6f~mv2.jpg/v1/fill/w_1000,h_667,al_c,q_90,usm_0.66_1.00_0.01/51bbcb_f0a7054375c5437f96906accf8d73d6f~mv2.jpg",success,
food\007-fufu-cameroun-choix-d-afrique.jpg,fufu cameroun choix afrique,https://images.pexels.com/photos/30313907/pexels-photo-30313907.jpeg,success,
food\008-farine-de-foufou-plantain-tropiway-680g.jpg,farine de foufou plantain tropiway 680g,https://sholmart.com/cdn/shop/products/2_3ec9d383-8b84-402b-a98b-eb2928ec2c7f_700x700.png,success,
food\010-manioc-gari-jaune-1kg.jpg,manioc gari jaune 1kg,https://cdn.shopify.com/s/files/1/0439/3890/6261/products/garijaune1.jpg,success,
food\011-manioc-gari-jaune-2kg.jpg,manioc gari jaune 2kg,https://cdn.shopify.com/s/files/1/0439/3890/6261/products/garijaune1.jpg,success,
food\012-farine-de-mais-maseso-4lb.jpg,farine de mais maseso 4lb,https://images.openfoodfacts.org/images/products/750/107/740/0050/front_en.37.400.jpg,success,
food\013-musa-riz-jaune-40lbs.jpg,musa riz jaune 40lbs,https://images.ricardocuisine.com/services/recipes/555x750_5402.jpg,success,
food\014-musa-riz-jaune-4x10lb.jpg,musa riz jaune 4x10lb,https://image.shutterstock.com/shutterstock/photos/2121928634/display_1500/stock-photo-a-plate-of-saffron-rice-pilaf-turkish-name-safranli-pilav-2121928634.jpg,success,
food\015-musa-riz-crevette-15kg.jpg,musa riz crevette 15kg,https://horizonvertfoods.com/cdn/shop/files/Riz-Crevette-jasmine-rice-5_1024x1024.jpg,success,
food\016-musa-riz-crevette-7kg.jpg,musa riz crevette 7kg,https://horizonvertfoods.com/cdn/shop/files/Riz-Crevette-jasmine-rice-5_1024x1024.jpg,success,
food\017-ferma-medium-round-rice.jpg,ferma medium round rice,"https://static.wixstatic.com/media/51b6f8_ab00e3b233444376b2680ea10b10dc68~mv2.png/v1/fit/w_302,h_403,q_80/51b6f8_ab00e3b233444376b2680ea10b10dc68~mv2.png",success,
food\018-ferma-parboiled-rice.jpg,ferma parboiled rice,https://c8.alamy.com/comp/BWX8C1/parboiled-rice-BWX8C1.jpg,success,
food\019-musa-mais-16-2kg.jpg,musa mais 16 2kg,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154153694919655450.jpeg,success,
food\020-musa-avoine-6lb.jpg,,,failed,No valid image found
food\021-musa-haricots-noires-4kg.jpg,,,failed,No search results
food\022-musa-haricots-pinto-4kg.jpg,,,failed,No search results
food\024-musa-haricots-noire-900g.jpg,,,failed,No search results
food\025-musa-haricots-pinto-900g.jpg,,,failed,No search results
food\026-musa-haricots-petit-rouge-900g.jpg,,,failed,No search results
food\027-ferma-green-peas.jpg,,,failed,No search results
food\028-ferma-green-lentils.jpg,,,failed,No search results
food\029-sugar-demerara-gold-800g.jpg,,,failed,No search results
food\031-levure-chimique-alsa.jpg,,,failed,No search results
food\032-levure-boulangere-alsa.jpg,,,failed,No search results
food\034-nido-milk-powder.jpg,,,failed,No search results
food\035-cerelac-baby-cereal.jpg,,,failed,No search results
food\036-palm-oil-regular-1l.jpg,,,failed,No search results
food\037-palm-oil-regular-2l.jpg,,,failed,No search results
food\038-palm-oil-zomi-1l.jpg,,,failed,No search results
food\039-palm-oil-zomi-2l.jpg,palm oil zomi 2l,https://www.yaweefoods.com/_webedit/cached-images/22-23-0-1920-1920.jpg,success,
food\040-palm-oil-zomi-4-5l.jpg,palm oil zomi 4 5l,https://www.goldencountry.com/site/img/products/O081047_00.JPG,success,
food\042-mr-goudas-vegetable-oil-3l.jpg,mr goudas vegetable oil 3l,https://www.goudas.ca/images/home-bg1.jpg,success,
food\043-mr-goudas-canola-oil-3l.jpg,mr goudas canola oil 3l,https://www.instacart.com/image-server/1200x1200/www.instacart.com/assets/domains/product-image/file/large_033d59aa-1876-4054-9189-a6d34dd138b6.jpg,success,
food\047-paladin-apple-cider-vinegar.jpg,,,failed,No valid image found
food\048-vinegar-1l.jpg,vinegar 1l,https://cdn.ngnw.ph/images/product/ef2cae33/aa55f027/full/VINEGAR1L.jpg,success,
food\049-vinegar-4l.jpg,vinegar 4l,https://www.alimentsduquebec.com/files/20220725/winston-house-blanc-4l_1658762751.jpg,success,
food\050-pate-d-arachide-choix-d-afrique-500g.jpg,pate arachide choix afrique 500g,https://www.chronocash.fr/Files/136054/Img/08/PSAF-big.png,success,
food\053-arachides-salees-en-bouteille-500g.jpg,arachides salees en bouteille 500g,https://www.diboore.com/424-large_default/arachides-grillees-salees-en-bouteille-kbp-300-g.jpg,success,
food\054-arachides-sucrees-cacahuete-en-bouteille-500g.jpg,,,failed,No valid image found
food\055-sauce-graine-choix-d-afrique-800g.jpg,sauce graine choix afrique 800g,"https://static.wixstatic.com/media/dcf5d4_9917d04c5e5447ebb1792bbf326da8f3~mv2.jpeg/v1/fit/w_500,h_500,q_90/file.jpg",success,
food\056-sauce-graine-choix-d-afrique-400g.jpg,sauce graine choix afrique 400g,https://i.pinimg.com/736x/b1/8d/12/b18d12539ff00dcbf10bb80f561212f7.jpg,success,
food\057-bonle-condensed-milk.jpg,bonle condensed milk,https://caribbeaneat.com/cdn/shop/files/BONLEMILK.webp,success,
food\058-miel-brut-naturel-cam-500g.jpg,miel brut naturel cam 500g,https://storage.bhs.cloud.ovh.net/v1/AUTH_67da374e12f7497491105aaeeebf4835/public/products/14411_14411-Raw-Organic-Honey-Miel-de-la-Garde.jpg,success,
food\059-pure-honey-bottle.jpg,,,failed,No valid image found
food\060-lesieur-mayonnaise-500ml.jpg,,,failed,No valid image found
food\061-lesieur-mayonnaise-750ml.jpg,,,failed,No valid image found
food\063-kraft-peanut-butter-smooth-creamy.jpg,,,failed,No valid image found
food\064-blue-band-original-450g.jpg,blue band original 450g,https://www.blueband.com/en-ke/-/media/Project/Upfield/Brands/Blue-Band-Global/Blue-Band-Consumer-KE/Assets/Recipes/sync-images/2106f3eb-1dbc-43e2-9730-fe6175f12643.jpg,success,
fresh-vegetables\217-pondu.jpg,pondu,https://www.africanfoods.co.uk/images/Pondu.png,success,
fresh-vegetables\218-matembele.jpg,matembele,https://i.pinimg.com/736x/61/2e/44/612e44004f4292047bac9708ba746b3a.jpg,success,
fresh-vegetables\219-fumbwa.jpg,fumbwa,https://www.shutterstock.com/image-photo/fumbwa-wild-spinach-stew-congolese-260nw-1576683055.jpg,success,
fresh-vegetables\220-biteku-ntete.jpg,,,failed,No valid image found
fresh-vegetables\221-ngai-ngai.jpg,,,failed,No valid image found
frozen-fish\092-horse-mackerel-frozen-medium.jpg,,,failed,No valid image found
frozen-fish\095-ferma-whiting-sliced.jpg,ferma whiting sliced,https://starfishmarket.ca/cdn/shop/files/2067.png,success,
frozen-fish\097-red-fish-with-head.jpg,red fish with head,https://as1.ftcdn.net/v2/jpg/05/00/45/58/1000_F_500455885_RRj7sfyoGFR2xLrLXJGkGA4S6v68rGyh.jpg,success,
frozen-fish\098-tamboril-monk-fish.jpg,,,failed,No valid image found
frozen-fish\099-pollock-fillets-salted-bulk.jpg,,,failed,No valid image found
frozen-fish\100-poisson-catfish-congele.jpg,,,failed,No valid image found
frozen-vegetables\076-ferma-frozen-corn.jpg,ferma frozen corn,https://starfishmarket.ca/cdn/shop/files/2304.png,success,
frozen-vegetables\077-ferma-frozen-flat-green-beans.jpg,,,failed,No valid image found
frozen-vegetables\078-frozen-fava-beans.jpg,frozen fava beans,https://img06.weeecdn.com/item/image/014/277/D4D9282CFE5909A.jpg,success,
frozen-vegetables\079-ferma-frozen-lima-beans.jpg,,,failed,No valid image found
frozen-vegetables\080-frozen-mixed-vegetables.jpg,frozen mixed vegetables,https://sanufoods.com/images/frozen/mixed-vegetables.jpg,success,
frozen-vegetables\081-ferma-frozen-green-peas.jpg,,,failed,No valid image found
frozen-vegetables\082-ferma-frozen-peas-and-carrots.jpg,ferma frozen peas and carrots,https://cdn11.bigcommerce.com/s-1ly92eod7l/images/stencil/1280x1280/products/939/1921/FProd1631Cda-Updated-Packaging__99970.1706722043.jpg,success,
frozen-vegetables\083-ferma-portuguese-mix.jpg,ferma portuguese mix,"https://static.wixstatic.com/media/fd98b7_3fab8949dc2948c1841bb6a13a45fcc7~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",success,
frozen-vegetables\085-ferma-frozen-cassava-yuca.jpg,ferma frozen cassava yuca,https://static.tossdown.com/images/65233f81748214bdd05039338da499a4.jpg,success,
